,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y,zip,tract
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,152917.0,26305.0,,,181250.0,77123.0,182031.0,39981.0,128125.0,69107.0,,,,,138716.0,44606.0,,,,,,,166122.0,25778.0,,,1124,128,213,95,911,119,19.0,8.17181130150327,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,197813.0,37518.0,,,217578.0,35054.0,245048.0,51218.0,105625.0,76730.0,,,,,250001.0,,,,,,,,195625.0,44008.0,250001.0,,1841,239,383,125,1458,245,20.8,6.22952761920093,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,94412.0,26327.0,54201.0,27412.0,106406.0,24818.0,101000.0,53317.0,,,,,,,86750.0,22250.0,,,121313.0,106637.0,,,106875.0,35509.0,120875.0,57879.0,2142,217,212,88,1930,233,9.9,3.98407707547491,,,98103,53033001701
13,53033001702,1280220,0,Census Tract 17.02,Washington,King County,96300.0,18850.0,,,114846.0,25340.0,95481.0,32761.0,75147.0,28075.0,106429.0,54910.0,,,67319.0,18311.0,,,95811.0,61500.0,250001.0,,98824.0,34217.0,95405.0,30663.0,2276,223,248,115,2028,252,10.9,4.93864684535334,,,98117,53033001702
14,53033001800,946085,0,Census Tract 18,Washington,King County,102397.0,23364.0,81650.0,12006.0,121035.0,16844.0,82929.0,67351.0,,,,,,,96250.0,19212.0,,,,,86746.0,24134.0,126000.0,13156.0,58275.0,17399.0,2318,239,206,95,2112,235,8.9,3.99461539635379,,,98103,53033001800
15,53033001900,1667272,0,Census Tract 19,Washington,King County,124226.0,22667.0,90833.0,6770.0,151136.0,18347.0,149167.0,35871.0,70568.0,26327.0,,,,,98403.0,43296.0,,,,,89643.0,67552.0,136440.0,8213.0,187500.0,113067.0,2261,153,362,162,1899,142,16.0,7.08258449839788,,,98115,53033001900
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,128393.0,23049.0,87000.0,55204.0,152813.0,29395.0,116538.0,62865.0,91344.0,16808.0,,,,,204375.0,79215.0,,,,,89063.0,46315.0,129464.0,22566.0,40833.0,38585.0,1516,122,331,109,1185,141,21.8,6.97197393170846,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,132545.0,13697.0,83843.0,52976.0,100625.0,48819.0,176185.0,11057.0,93185.0,43355.0,,,,,250001.0,,,,,,28590.0,7293.0,132381.0,14176.0,,,1829,234,125,67,1704,234,6.8,3.55732046328272,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,146786.0,34130.0,,,163158.0,55457.0,181333.0,64263.0,93571.0,53623.0,,,,,123203.0,101111.0,,,,,,,168906.0,23122.0,144514.0,55421.0,2338,192,528,172,1810,204,22.6,7.11911383059193,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,154779.0,19670.0,,,146630.0,23593.0,200456.0,31502.0,106806.0,50518.0,,,,,93802.0,14535.0,,,,,,,163153.0,24417.0,,,1363,242,143,54,1220,240,10.5,3.49661651306661,,,98115,53033002400
20,53033002500,984334,0,Census Tract 25,Washington,King County,150052.0,18111.0,,,162875.0,60504.0,203854.0,58321.0,45000.0,37931.0,,,,,152596.0,51288.0,,,,,,,150500.0,33993.0,,,1299,129,270,122,1029,86,20.8,9.16220826966558,,,98115,53033002500
21,53033002600,1216627,28175,Census Tract 26,Washington,King County,165147.0,43104.0,,,181875.0,52218.0,178375.0,18457.0,85536.0,17806.0,,,,,,,,,,,168287.0,66763.0,182614.0,16381.0,,,1874,202,343,126,1531,209,18.3,6.42761626278322,,,98115,53033002600
22,53033002700,1584847,0,Census Tract 27,Washington,King County,164813.0,22402.0,71797.0,14476.0,250001.0,,109474.0,104288.0,101875.0,29103.0,,,,,250001.0,,,,,,166786.0,71681.0,153447.0,30056.0,,,2376,224,326,113,2050,243,13.7,4.57660575740288,,,98103,53033002700
23,53033002800,988287,0,Census Tract 28,Washington,King County,128654.0,22304.0,,,135655.0,30825.0,154479.0,47963.0,52292.0,26076.0,,,,,,,,,,,100441.0,63168.0,136167.0,23708.0,54474.0,53373.0,2226,288,374,144,1852,303,16.8,6.0928413701451,,,98103,53033002800
24,53033002900,986209,0,Census Tract 29,Washington,King County,136410.0,34692.0,,,182167.0,45557.0,145288.0,68551.0,61591.0,50850.0,,,,,184813.0,77075.0,,,,,,,137181.0,30683.0,,,2095,268,451,142,1644,265,21.5,6.19338935880727,,,98117,53033002900
25,53033003000,1493249,0,Census Tract 30,Washington,King County,127688.0,27974.0,,,146369.0,41012.0,162125.0,46949.0,61699.0,10200.0,,,,,155729.0,111179.0,,,,,,,120592.0,31627.0,114773.0,69279.0,2641,249,507,132,2134,258,19.2,4.65887251642956,,,98117,53033003000
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,165651.0,12630.0,,,222750.0,30898.0,172083.0,18532.0,68405.0,25970.0,,,,,,,,,,,250001.0,,163073.0,18513.0,,,2697,247,566,131,2131,266,21.0,4.46080867544168,,,98117,53033003100
