,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y,zip,tract
10,53033001500,1167711,526885,Census Tract 15,Washington,King County,1124,128,75,53,8,13,8,13,34,38,0,13,0,13,37,58,9,14,10,17,0,13,48,34,134,63,43,29,143,84,163,86,412,81,229,101,20.4,8.68106900202145,11.9,5.43807504647156,761,148,67.7,10.673825118293,,,98117,53033001500
11,53033001600,2020358,320118,Census Tract 16,Washington,King County,1841,239,23,26,8,12,25,28,21,30,20,23,43,51,24,23,29,21,0,13,28,25,112,56,107,57,151,86,49,24,284,98,917,220,333,103,18.1,5.07814870532384,5.8,3.00279782099853,1401,257,76.1,9.86278584416674,,,98117,53033001600
12,53033001701,892768,0,Census Tract 17.01,Washington,King County,2142,217,35,39,36,51,96,112,97,98,66,64,33,33,15,23,72,53,51,47,159,90,68,57,347,152,303,123,343,167,246,115,175,86,728,220,34.0,9.67645297273653,16.2,6.90378563779668,1067,252,49.8,10.6274049215015,,,98103,53033001701
13,53033001702,1280220,0,Census Tract 17.02,Washington,King County,2276,223,101,60,13,22,38,41,42,43,46,54,12,20,101,112,13,20,61,51,63,54,305,151,401,160,247,139,237,125,174,96,422,156,795,228,34.9,9.41483714520156,17.6,6.81463257522184,1080,262,47.5,10.5307752232126,,,98117,53033001702
14,53033001800,946085,0,Census Tract 18,Washington,King County,2318,239,19,32,0,18,37,45,23,37,44,41,77,70,22,35,212,190,11,18,104,90,122,88,418,160,280,119,269,110,297,134,383,128,671,255,28.9,10.5882406916538,18.0,6.64737344843999,1229,246,53.0,9.09630293101301,,,98103,53033001800
15,53033001900,1667272,0,Census Tract 19,Washington,King County,2261,153,99,51,24,35,17,18,66,62,26,24,42,25,37,45,25,22,50,32,112,46,183,75,272,90,184,66,219,111,316,96,589,98,681,143,30.1,5.98723054143666,12.0,3.89640772630857,1308,188,57.9,7.33572070845686,,,98115,53033001900
16,53033002000,1103313,28680,Census Tract 20,Washington,King County,1516,122,43,37,43,33,9,13,14,20,28,25,4,6,19,21,31,32,29,28,54,40,141,82,196,76,142,58,139,65,161,53,463,113,415,119,27.4,7.5341348917098,12.9,4.9040373657295,905,152,59.7,8.80052497206017,,,98115,53033002000
17,53033002100,1365468,0,Census Tract 21,Washington,King County,1829,234,83,73,24,39,11,18,10,16,56,57,45,33,16,25,89,87,0,13,72,72,98,49,171,79,135,69,220,84,257,139,542,138,504,166,27.6,8.36329393382179,9.3,4.15037182088819,1154,224,63.1,9.21037824450168,,,98115,53033002100
18,53033002200,2804076,1154953,Census Tract 22,Washington,King County,2338,192,115,88,112,96,29,32,13,21,47,41,15,24,51,65,43,39,43,39,58,44,65,47,265,105,93,57,228,116,313,169,848,164,591,179,25.3,7.36932087769502,11.3,4.39350052617097,1482,269,63.4,10.2606501417531,,,98115,53033002200
19,53033002400,962528,0,Census Tract 24,Washington,King County,1363,242,8,13,8,13,5,8,15,16,0,13,45,33,38,39,21,24,10,16,23,20,78,41,133,87,118,50,151,67,189,95,521,220,251,80,18.4,4.87437215841992,9.8,6.14335679976688,979,254,71.8,13.5883131934573,,,98115,53033002400
